product number,bad result for w2v,bad result for glove,accuracy for w2v,accuracy for glove,difference
0,"10,33, 39, 42, 64, 71, 72, 77,","38, 41, 43, 51, 52, 61, 64, 74, 88, ",0.92,0.91,0.01
1,"8, 27, 46, 61, 80, 81, 91, 96, 97 ","10, 41, 45, 57, 64, 76, 80, 95, 97, 99",0.91,0.9,0.01
2,"32, 50, 59, 64, 65, 66, 70, 73, 75, 90, 91, 93, 99","28, 30, 50, 61, 65, 71, 88, 89, 92, ",0.87,0.91,-0.04
3,"4, 27, 30, 37, 40, 51, 53, 60, 70, 71, 72,  84, 89, 91, 95","20, 25, 26, 28, 40, 45, 49, 67, 68, 76, 78, 91, 96",0.85,0.87,-0.02
4,"26, 34, 43, 47, 88, 89, 94, 95, 98, 99","28, 46, 47, 48, 49, 50, 55, 66, 71, 76, 82, 84, ",0.9,0.88,0.02
5,"3, 11, 42, 63, 64, 70, 71, 77, 82, 87, 96, ","3, 56, 59, 60, 66, 72, 90, 95, 99",0.89,0.91,-0.02
6,"7, 9, 11, 13, 17, 21, 24, 25, 35, 51, 52, 53, 58, 60, 63, 88, 90, 92, 95, 99 ","6, 15, 30, 48, 54, 55, 64, 74, 78, 79, 82, 85, 91, ",0.8,0.87,-0.07
7,"3, 26, 39, 64, 74, 80, 82, 92, 94","24, 26, 34, 37, 39, 47, 58,71, 78, 79, 86, 96, 97, 98",0.91,0.86,0.05
8,"48, 50, 61, 80, 83, 86, 93, 97, 98","26, 47, 52, 57, 58, 60, 61, 73, 79, 90, 96, 97, 98, 99",0.91,0.86,0.05
